id;display_name;manufacturer;name;powder_type_normalized;grain_shape_normalized;burn_rate;relative_burn_rate;quickload_ba_value;qex_kj_per_kg;k_ratio;a0;z1;z2;eta_cm3_per_kg;pc_kg_m3;pcd_kg_m3;pt_c;density_gcc;grain_size_mm;temp_stable;temp_coefficient_fps_per_f;loading_density_optimal_percent;velocity_potential;optimal_bullet_weight_range;suitable_for_cartridges;usable_for_simulation;validation_status;lot_number;source_display;evidence_level;notes
92;Hodgdon HP-38;Hodgdon;HP-38;;;3.7955;3.7955;3.7955;4000.0;1.2214;0.7323;0.2559;0.8031;1.0;1580.0;790.0;21.0;;;1;;;;;;1;memory_extracted;2020-02-05;Internal reference seed;memory_extracted;Imported from internal reference seed.
93;Hodgdon HS-6;Hodgdon;HS-6;;;2.4661;2.4661;2.4661;3800.0;1.2234;0.4911;0.2287;0.8089;1.0;1610.0;920.0;21.0;;;1;;;;;;1;memory_extracted;2020-04-30;Internal reference seed;memory_extracted;Imported from internal reference seed.
94;Hodgdon Hybrid 100V;Hodgdon;Hybrid 100V;;;0.5414;0.5414;0.5414;3600.0;1.2215;1.1155;0.4953;0.7992;1.0;1590.0;960.0;21.0;;;1;;;;;;1;memory_extracted;2020-08-11;Internal reference seed;memory_extracted;Imported from internal reference seed.
95;Hodgdon Leverevolution;Hodgdon;LeverEvolution;;;0.59031;0.59031;0.59031;3900.0;1.20743;0.3979;0.4932;0.7614;1.0;1619.94685980001;1050.0;21.0;;;1;;;;;;1;memory_extracted;2019-11-28;Internal reference seed;memory_extracted;Imported from internal reference seed.
96;Hodgdon Lil Gun;Hodgdon;Lil Gun;;;1.1009;1.1009;1.1009;4000.0;1.2213;1.5753;0.2741;0.7309;1.0;1570.0;956.0;21.0;;;1;;;;;;1;memory_extracted;2020-DEV-1;Internal reference seed;memory_extracted;Imported from internal reference seed.
24;Hodgdon Lil' Gun QL;Hodgdon;Lil' Gun QL;;;Ba 0.9150;0.915;0.915;4090.0;1.163;7.1827;0.4555;0.5011;1.0;1570.0;956.0;21.0;;;1;;;;;;1;verified_seed;2023/05/03;grt_databases;simulation_seed;grt_databases
25;Hodgdon Lil'Gun (sub-sonic);Hodgdon;Lil'Gun (sub-sonic);;;Ba 0.8600;0.86;0.86;4090.0;1.14;100.3009;0.2378;0.8506;1.0;1570.0;956.0;21.0;;;1;;;;;;1;verified_seed;2023/05/07;grt_databases;simulation_seed;grt_databases
97;Hodgdon Longshot;Hodgdon;Longshot;;;2.7118;2.7118;2.7118;3780.0;1.2243;0.4323;0.2516;0.8031;1.0;1660.0;940.0;21.0;;;1;;;;;;1;memory_extracted;2020-02-05;Internal reference seed;memory_extracted;Imported from internal reference seed.
98;Hodgdon Retumbo;Hodgdon;Retumbo;;;0.3473;0.3473;0.3473;3680.0;1.2382;0.9986;0.6629;0.8477;1.0;1590.0;960.0;21.0;;;1;;;;;;1;memory_extracted;2020-06-07;Internal reference seed;memory_extracted;Imported from internal reference seed.
99;Hodgdon Superformance;Hodgdon;Superformance;;;0.4213;0.4213;0.4213;3880.0;1.2335;0.8016;0.5063;0.8091;1.0;1600.0;1020.0;21.0;;;1;;;;;;1;memory_extracted;2021-10-DEV-2;Internal reference seed;memory_extracted;Imported from internal reference seed.
101;Hodgdon Titegroup;Hodgdon;Titegroup;;;4.5022;4.5022;4.5022;4050.0;1.2139;1.8999;0.2194;0.7985;1.0;1600.0;817.0;21.0;;;1;;;;;;1;memory_extracted;2019-12-17;Internal reference seed;memory_extracted;Imported from internal reference seed.
100;Hodgdon Titegroup (approx.);Hodgdon;Titegroup (approx.);;;4.3929;4.3929;4.3929;4350.0;1.2289;-0.3591;0.2087;0.8425;1.0;1650.0;817.0;21.0;;;1;;;;;;1;memory_extracted;2020-03-09;Internal reference seed;memory_extracted;Imported from internal reference seed.
103;Hodgdon Universal;Hodgdon;Universal;;;3.5581;3.5581;3.5581;4020.0;1.2192;1.2752;0.2091;0.7787;1.0;1620.0;700.0;21.0;;;1;;;;;;1;memory_extracted;2020-03-30;Internal reference seed;memory_extracted;Imported from internal reference seed.
102;Hodgdon Universal (approx.);Hodgdon;Universal (approx.);;;3.7076;3.7076;3.7076;4150.0;1.2121;1.5123;0.1325;0.806;1.0;1630.0;700.0;21.0;;;1;;;;;;1;memory_extracted;2020-03-30-1;Internal reference seed;memory_extracted;Imported from internal reference seed.
7;Hodgdon Varget;Hodgdon;Varget;Extruded;extruded;0.5773;0.5773;0.5773;4000.0;1.2257;0.7922;0.4431;0.7908;1.0;1620.0;960.0;21.0;;;1;;;;;;1;memory_extracted;2021-10-30-2;Internal reference seed;memory_extracted;Versatile, very popular
104;IMR 3031;IMR;3031;;;0.6205;0.6205;0.6205;3790.0;1.2412;1.1249;0.5047;0.8228;1.0;1650.0;935.0;21.0;;;1;;;;;;1;memory_extracted;2021-11-13;Internal reference seed;memory_extracted;Imported from internal reference seed.
13;IMR 4064;IMR;4064;Extruded;extruded;0.6589;0.6589;0.6589;3900.0;1.2261;1.6004;0.2081;0.7954;1.0;1630.0;933.0;21.0;;;1;;;;;;1;memory_extracted;2019-11-08;Internal reference seed;memory_extracted;Classic .308 powder
105;IMR 4166;IMR;4166;;;0.602;0.602;0.602;3860.0;1.2333;1.0792;0.2945;0.7945;1.0;1550.0;900.0;21.0;;;1;;;;;;1;memory_extracted;2020-03-02;Internal reference seed;memory_extracted;Imported from internal reference seed.
